iter	Passed	Remaining
0	0	427
1	0	367
2	1	373
3	1	389
4	1	368
5	2	344
6	2	331
7	2	328
8	3	340
9	3	344
10	4	369
11	4	368
12	4	364
13	5	360
14	5	358
15	5	352
16	6	348
17	6	344
18	6	337
19	6	336
20	7	334
21	7	329
22	7	327
23	8	326
24	8	327
25	8	326
26	9	325
27	9	323
28	9	322
29	9	320
30	10	321
31	10	320
32	10	317
33	11	317
34	11	316
35	11	316
36	12	315
37	12	314
38	12	312
39	12	311
40	13	312
41	13	310
42	13	308
43	14	305
44	14	303
45	14	301
46	14	301
47	15	300
48	15	299
49	15	298
50	15	297
51	16	296
52	16	295
53	16	294
54	17	294
55	17	294
56	17	293
57	18	292
58	18	291
59	18	292
60	19	292
61	22	333
62	22	333
63	22	332
64	23	332
65	23	330
66	23	329
67	23	328
68	24	333
69	25	332
70	26	346
71	26	345
72	27	345
73	27	344
74	27	343
75	28	342
76	28	341
77	28	340
78	29	338
79	29	337
80	29	336
81	29	335
82	30	334
83	30	333
84	30	332
85	31	331
86	31	330
87	31	329
88	32	328
89	32	327
90	32	327
91	33	326
92	33	326
93	33	326
94	34	325
95	34	324
96	34	322
97	34	321
98	35	320
99	35	319
100	35	318
101	36	317
102	36	316
103	36	315
104	36	314
105	37	313
106	37	313
107	37	312
108	38	311
109	38	310
110	38	309
111	38	309
112	39	308
113	39	307
114	39	306
115	40	305
116	40	305
117	40	304
118	41	303
119	41	302
120	41	302
121	41	301
122	42	300
123	42	299
124	42	298
125	42	298
126	43	297
127	43	296
128	43	295
129	44	294
130	44	294
131	44	293
132	44	292
133	45	291
134	45	291
135	45	291
136	46	290
137	46	289
138	46	288
139	46	288
140	47	287
141	47	286
142	47	286
143	48	285
144	48	285
145	48	284
146	48	283
147	49	283
148	49	282
149	49	281
150	50	281
151	50	280
152	50	280
153	50	279
154	51	279
155	51	278
156	51	277
157	52	277
158	52	276
159	52	275
160	52	275
161	53	274
162	53	274
163	53	273
164	53	272
165	54	272
166	54	271
167	54	271
168	55	270
169	55	269
170	55	269
171	55	268
172	56	268
173	56	267
174	56	267
175	56	266
176	57	266
177	57	265
178	57	265
179	58	264
180	58	264
181	58	263
182	58	263
183	59	262
184	59	262
185	59	261
186	60	261
187	60	260
188	60	260
189	60	259
190	61	259
191	61	259
192	61	258
193	62	258
194	62	258
195	62	258
196	63	257
197	63	257
198	63	257
199	64	257
200	64	256
201	64	256
202	65	255
203	65	255
204	65	255
205	66	254
206	66	254
207	66	253
208	66	253
209	67	253
210	67	252
211	67	252
212	68	251
213	68	251
214	68	250
215	68	250
216	69	249
217	69	249
218	69	249
219	70	248
220	70	248
221	70	247
222	71	247
223	71	247
224	71	246
225	71	246
226	72	245
227	72	245
228	72	244
229	73	244
230	73	244
231	73	243
232	73	243
233	74	242
234	74	242
235	74	241
236	74	241
237	75	240
238	75	240
239	75	240
240	76	239
241	76	239
242	76	238
243	76	238
244	77	238
245	77	237
246	77	237
247	78	237
248	78	236
249	78	236
250	79	235
251	79	235
252	79	235
253	79	234
254	80	234
255	80	234
256	80	233
257	81	233
258	81	233
259	81	232
260	82	232
261	82	231
262	82	231
263	82	231
264	83	230
265	83	230
266	83	230
267	84	229
268	84	229
269	84	229
270	85	228
271	85	228
272	85	228
273	86	227
274	86	227
275	86	227
276	86	226
277	87	226
278	87	226
279	87	225
280	88	225
281	88	225
282	88	225
283	89	224
284	89	224
285	89	224
286	90	223
287	90	223
288	90	223
289	90	222
290	91	222
291	91	222
292	91	221
293	92	221
294	92	220
295	92	220
296	93	220
297	93	220
298	93	219
299	94	219
300	94	219
301	94	218
302	95	218
303	95	218
304	95	218
305	95	217
306	96	217
307	96	216
308	96	216
309	97	216
310	97	215
311	97	215
312	97	214
313	98	214
314	98	214
315	98	213
316	99	213
317	99	212
318	99	212
319	99	212
320	100	211
321	100	211
322	100	210
323	100	210
324	101	210
325	101	209
326	101	209
327	101	208
328	102	208
329	102	208
330	102	207
331	103	207
332	103	207
333	103	206
334	104	206
335	104	206
336	104	206
337	105	205
338	105	205
339	105	205
340	106	204
341	106	204
342	106	204
343	106	203
344	107	203
345	107	203
346	107	202
347	107	202
348	108	201
349	108	201
350	108	201
351	109	200
352	109	200
353	109	200
354	109	199
355	110	199
356	110	199
357	110	198
358	111	198
359	111	198
360	111	197
361	112	197
362	112	197
363	112	196
364	112	196
365	113	196
366	113	195
367	113	195
368	114	194
369	114	194
370	114	194
371	114	193
372	115	193
373	115	193
374	115	193
375	116	192
376	116	192
377	116	192
378	117	191
379	117	191
380	117	191
381	117	190
382	118	190
383	118	190
384	118	189
385	119	189
386	119	189
387	119	188
388	120	188
389	120	188
390	120	187
391	120	187
392	121	187
393	121	186
394	121	186
395	122	186
396	122	185
397	122	185
398	123	185
399	123	185
400	123	184
401	123	184
402	124	184
403	124	183
404	124	183
405	125	183
406	125	182
407	125	182
408	125	181
409	126	181
410	126	181
411	126	181
412	127	180
413	127	180
414	127	180
415	128	179
416	128	179
417	128	179
418	128	178
419	129	178
420	129	178
421	129	177
422	130	177
423	130	177
424	130	176
425	131	176
426	131	176
427	131	175
428	131	175
429	132	175
430	132	174
431	132	174
432	133	174
433	133	174
434	133	173
435	134	173
436	134	173
437	134	172
438	134	172
439	135	172
440	135	171
441	135	171
442	136	170
443	136	170
444	136	170
445	136	169
446	137	169
447	137	169
448	137	169
449	138	168
450	138	168
451	138	168
452	139	167
453	139	167
454	139	167
455	139	166
456	140	166
457	140	166
458	140	166
459	141	165
460	141	165
461	141	165
462	142	164
463	142	164
464	142	164
465	142	163
466	143	163
467	143	163
468	143	162
469	144	162
470	144	162
471	144	161
472	144	161
473	145	161
474	145	160
475	145	160
476	145	159
477	146	159
478	146	159
479	146	158
480	146	158
481	147	158
482	147	157
483	147	157
484	148	157
485	148	156
486	148	156
487	148	156
488	149	156
489	149	155
490	149	155
491	150	155
492	150	154
493	150	154
494	151	154
495	151	153
496	151	153
497	152	153
498	152	152
499	152	152
500	152	152
501	153	151
502	153	151
503	153	151
504	154	151
505	154	150
506	154	150
507	154	150
508	155	149
509	155	149
510	155	149
511	156	148
512	156	148
513	156	148
514	156	147
515	157	147
516	157	147
517	157	146
518	158	146
519	158	146
520	158	145
521	158	145
522	159	145
523	159	144
524	159	144
525	160	144
526	160	143
527	160	143
528	161	143
529	161	143
530	161	142
531	161	142
532	162	142
533	162	141
534	162	141
535	163	141
536	163	141
537	164	141
538	164	140
539	164	140
540	165	140
541	165	139
542	165	139
543	166	139
544	166	138
545	166	138
546	167	138
547	167	138
548	167	137
549	167	137
550	168	137
551	168	136
552	168	136
553	168	135
554	169	135
555	169	135
556	169	134
557	170	134
558	170	134
559	170	133
560	170	133
561	171	133
562	171	132
563	171	132
564	171	132
565	172	132
566	173	132
567	173	131
568	173	131
569	173	131
570	174	130
571	174	130
572	174	130
573	174	129
574	175	129
575	175	129
576	175	128
577	175	128
578	176	128
579	176	127
580	176	127
581	176	127
582	177	126
583	177	126
584	177	126
585	177	125
586	178	125
587	178	125
588	178	124
589	179	124
590	179	124
591	179	123
592	179	123
593	180	123
594	180	122
595	180	122
596	180	122
597	181	121
598	181	121
599	181	121
600	181	120
601	182	120
602	182	120
603	182	119
604	182	119
605	183	119
606	183	118
607	183	118
608	184	118
609	184	117
610	184	117
611	184	117
612	185	116
613	185	116
614	185	116
615	186	116
616	186	115
617	186	115
618	187	115
619	187	115
620	187	114
621	188	114
622	188	114
623	188	113
624	189	113
625	189	113
626	190	113
627	190	112
628	190	112
629	190	112
630	191	111
631	191	111
632	191	111
633	191	110
634	192	110
635	192	110
636	192	109
637	192	109
638	193	109
639	193	108
640	193	108
641	193	108
642	194	107
643	194	107
644	194	107
645	195	106
646	195	106
647	195	106
648	196	106
649	196	105
650	196	105
651	197	105
652	197	104
653	197	104
654	198	104
655	198	104
656	198	103
657	199	103
658	199	103
659	199	102
660	200	102
661	200	102
662	200	101
663	200	101
664	201	101
665	201	101
666	201	100
667	202	100
668	202	100
669	202	99
670	202	99
671	203	99
672	203	98
673	203	98
674	204	98
675	204	97
676	204	97
677	204	97
678	205	97
679	205	96
680	205	96
681	206	96
682	206	95
683	206	95
684	207	95
685	207	95
686	207	94
687	208	94
688	208	94
689	208	93
690	208	93
691	209	93
692	209	92
693	209	92
694	210	92
695	210	91
696	210	91
697	210	91
698	211	90
699	211	90
700	211	90
701	212	90
702	212	89
703	212	89
704	212	89
705	213	88
706	213	88
707	213	88
708	214	87
709	214	87
710	214	87
711	214	86
712	215	86
713	215	86
714	215	85
715	215	85
716	216	85
717	216	85
718	216	84
719	217	84
720	217	84
721	217	83
722	218	83
723	218	83
724	218	82
725	218	82
726	219	82
727	219	82
728	219	81
729	220	81
730	220	81
731	220	80
732	221	80
733	221	80
734	221	79
735	221	79
736	222	79
737	222	78
738	222	78
739	223	78
740	223	78
741	223	77
742	223	77
743	224	77
744	224	76
745	224	76
746	225	76
747	225	75
748	225	75
749	225	75
750	226	75
751	226	74
752	226	74
753	227	74
754	227	73
755	227	73
756	227	73
757	228	72
758	228	72
759	228	72
760	229	71
761	229	71
762	229	71
763	230	71
764	230	70
765	230	70
766	230	70
767	231	69
768	231	69
769	231	69
770	231	68
771	232	68
772	232	68
773	232	67
774	233	67
775	233	67
776	233	67
777	233	66
778	234	66
779	234	66
780	234	65
781	235	65
782	235	65
783	235	64
784	235	64
785	236	64
786	236	64
787	236	63
788	237	63
789	237	63
790	237	62
791	237	62
792	238	62
793	238	61
794	238	61
795	239	61
796	239	60
797	239	60
798	240	60
799	240	60
800	240	59
801	241	59
802	241	59
803	241	58
804	242	58
805	242	58
806	242	58
807	242	57
808	243	57
809	243	57
810	243	56
811	244	56
812	244	56
813	244	55
814	244	55
815	245	55
816	245	55
817	245	54
818	246	54
819	246	54
820	246	53
821	247	53
822	247	53
823	247	52
824	247	52
825	248	52
826	248	51
827	248	51
828	249	51
829	249	51
830	249	50
831	249	50
832	250	50
833	250	49
834	250	49
835	251	49
836	251	48
837	251	48
838	252	48
839	252	48
840	252	47
841	252	47
842	253	47
843	253	46
844	253	46
845	254	46
846	254	45
847	254	45
848	254	45
849	255	45
850	255	44
851	255	44
852	255	44
853	256	43
854	256	43
855	256	43
856	257	42
857	257	42
858	257	42
859	257	41
860	258	41
861	258	41
862	258	41
863	258	40
864	259	40
865	259	40
866	259	39
867	260	39
868	260	39
869	260	38
870	260	38
871	261	38
872	261	38
873	261	37
874	262	37
875	262	37
876	262	36
877	263	36
878	263	36
879	263	35
880	263	35
881	264	35
882	264	35
883	264	34
884	265	34
885	265	34
886	265	33
887	265	33
888	266	33
889	266	32
890	266	32
891	267	32
892	267	32
893	267	31
894	268	31
895	268	31
896	268	30
897	268	30
898	269	30
899	269	29
900	269	29
901	270	29
902	270	29
903	270	28
904	271	28
905	271	28
906	271	27
907	271	27
908	272	27
909	272	26
910	272	26
911	273	26
912	273	26
913	273	25
914	273	25
915	274	25
916	274	24
917	274	24
918	275	24
919	275	23
920	275	23
921	276	23
922	276	23
923	276	22
924	276	22
925	277	22
926	277	21
927	277	21
928	278	21
929	278	20
930	278	20
931	278	20
932	279	20
933	279	19
934	279	19
935	280	19
936	280	18
937	280	18
938	280	18
939	281	17
940	281	17
941	281	17
942	282	17
943	282	16
944	282	16
945	283	16
946	283	15
947	283	15
948	283	15
949	284	14
950	284	14
951	284	14
952	285	14
953	285	13
954	285	13
955	286	13
956	286	12
957	286	12
958	287	12
959	287	11
